"text","label"
"Tyrese Haliburton's assist-to-turnover ratio this playoffs (4.2) is the best of any primary ball-handler in the last 10 years. The Pacers' half-court offense runs through pick-and-roll reads that most teams can't replicate without a PG of his caliber.","analysis"
"People forget that the '16 Warriors had the easiest path to the Finals in recent memory. Only one team they faced finished above .550. Context matters when comparing dynasties.","analysis"
"Offensively the Pacers rank 4th in pace and 7th in points in the paint this season. Their transition offense generates 18.3 PPG which is 2nd in the league. This is a system built around speed not star power.","analysis"
"Haliburton's clutch time stats this season: 31.2% usage rate (8th in the league), 52% TS in clutch situations. He is legitimately elite in the moments that matter, the data backs it up.","analysis"
"The Celtics' defensive rating (109.4) in the postseason is nearly 6 points better than their regular season mark. Playoff rotations and scheme adjustments account for about half that gap historically. The other half is matchup-driven.","analysis"
"Mitchell Robinson's offensive rebounding rate (18.7%) would rank 1st among all centers if he played enough minutes to qualify. The Knicks are leaving 4-5 extra possessions per game on the table by not playing him 30+ minutes.","analysis"
"OKC's young core has the highest net rating differential between regular season and first round (+8.3) of any #1 seed since the '18 Warriors. Their defensive scheme adjusts faster than any team in the league.","analysis"
"Historical comparison: the Pacers' current 3-point attempt rate (42% of all shots) is comparable to the '19 Rockets. Their shot distribution says championship contender even if the roster doesn't look like one on paper.","analysis"
"Jokic has posted a 35+ point, 15+ rebound, 10+ assist game this postseason. That triple-double threshold at those levels has happened exactly three times in playoff history before this year.","analysis"
"The Knicks' offensive efficiency drops 8.4 points when Brunson plays with two other guards vs. when he plays alongside two wings. The lineup construction problem is real and documented.","analysis"
"Boston's three-point shooting in the playoffs (38.4%) is 4 points higher than league average in the same sample. Regression is coming ? teams shooting this well over a 20-game stretch almost always see a correction in the Finals.","analysis"
"Luka's isolation efficiency this postseason (1.12 PPP) is in the 93rd percentile league-wide. He is being guarded by the best defenders available and still generating elite outcomes. That is not luck.","analysis"
"The refs gave Cleveland 4 extra free throws per game in this series relative to their season average. That's a meaningful tilt ? 4 FT attempts at 75% accuracy is 3 points per game.","analysis"
"SGA has the highest true shooting percentage among guards averaging 25+ points this season (63.1%). For context, that's better than Steph Curry's peak TS seasons at similar usage.","analysis"
"Tatum's off-ball movement creates 6.2 open looks per game that teammates convert at 41% from three. His gravity is real even when his own shot isn't falling.","analysis"
"The Pacers' bench unit has a +8.3 net rating in the playoffs ? best among all second units. That's sustainable because it's built on turnovers (they force 18.4 per 100 possessions with the bench lineup) not shooting variance.","analysis"
"When Bam Adebayo plays 35+ minutes Miami wins 71% of games. When he plays under 30 they win 43%. There is a direct causal relationship between his minutes and their outcomes that the coaching staff keeps ignoring.","analysis"
"Giannis averages 31.4 points in the paint per game this season, the highest of any player since Shaquille O'Neal in 2001. The comparison is uncomfortable but statistically valid.","analysis"
"The Suns' defensive scheme is the oldest in the league ? their drop coverage works against mid-range heavy offenses but gives up 1.18 PPP on pick-and-roll to shooters. Every team with above-average corner three shooting has exploited this.","analysis"
"LeBron's PER in his age-39 season (23.1) is higher than every Hall-of-Famer except Jordan at equivalent ages. The durability argument is over ? he is statistically defying the aging curve.","analysis"
"Curry's off-dribble three-point shooting (43.2% this season) is 8 points better than the next best shooter in the same sample. No one else in the league attempts that volume at that efficiency.","analysis"
"Minnesota's switch-everything defense allows 0.84 PPP on all isolation ? that is elite. Their transition defense (0.98 PPP) is where they are vulnerable. Dallas should be pushing pace on every possession.","analysis"
"Durant's scoring efficiency (63% TS) this postseason is higher than any player averaging 25+ points. He is the most efficient volume scorer in playoff history by this measure.","analysis"
"The Warriors' dynasty window from 2015-2019 produced a 68% win rate in playoff games. No other team in the three-point era has sustained that level of postseason dominance over a 5-year span.","analysis"
